Nome do Produto,Categoria do Produto,Preço do Produto (R$),Quantidade em Estoque,Filial,Data da Venda
Corretivo,Alimentos,48.68,83,Filial 6,Valor Indisponível
Blush em pó,Alimentos,23.46,33,Filial 2,Valor Indisponível
Blush em pó,Alimentos,73.78,12,Filial 5,Valor Indisponível
Corretivo,Alimentos,87.16,69,Filial 10,Valor Indisponível
Pó compacto,Eletrônicos,16.85,91,Filial 9,Valor Indisponível
Base líquida,Eletrodomésticos,76.64,68,Filial 1,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,54.9,57,Filial 7,Valor Indisponível
Sombra de olhos,Eletrodomésticos,27.2,34,Filial 8,Valor Indisponível
Máscara de cílios,Alimentos,59.07,30,Filial 3,Valor Indisponível
Sombra de olhos,Eletrônicos,99.95,29,Filial 10,Valor Indisponível
Blush em pó,Eletrônicos,11.0,41,Filial 4,Valor Indisponível
Delineador líquido,Eletrodomésticos,99.5,4,Filial 10,Valor Indisponível
Pó compacto,Roupas,22.48,58,Filial 7,Valor Indisponível
Pó compacto,Alimentos,70.12,54,Filial 3,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,47.73,53,Filial 3,Valor Indisponível
Base líquida,Roupas,76.98,91,Filial 3,Valor Indisponível
Blush em pó,Eletrônicos,47.95,67,Filial 6,Valor Indisponível
Pó compacto,Eletrodomésticos,6.78,45,Filial 9,Valor Indisponível
Corretivo,Eletrodomésticos,22.66,45,Filial 4,Valor Indisponível
Máscara de cílios,Roupas,47.59,18,Filial 5,Valor Indisponível
Pó compacto,Eletrônicos,8.67,23,Filial 6,Valor Indisponível
Batom matte,Roupas,51.75,47,Filial 10,Valor Indisponível
Máscara de cílios,Roupas,55.75,73,Filial 1,Valor Indisponível
Batom matte,Eletrodomésticos,38.21,38,Filial 5,Valor Indisponível
Batom matte,Eletrônicos,90.65,52,Filial 10,Valor Indisponível
Pó compacto,Eletrodomésticos,6.94,61,Filial 4,Valor Indisponível
Base líquida,Alimentos,57.36,92,Filial 9,Valor Indisponível
Máscara de cílios,Eletrônicos,4.27,86,Filial 2,Valor Indisponível
Blush em pó,Roupas,67.2,23,Filial 4,Valor Indisponível
Máscara de cílios,Alimentos,98.1,85,Filial 3,Valor Indisponível
Blush em pó,Eletrodomésticos,84.94,50,Filial 4,Valor Indisponível
Batom líquido,Alimentos,58.91,63,Filial 6,Valor Indisponível
Pó compacto,Eletrônicos,96.86,61,Filial 5,Valor Indisponível
Delineador líquido,Eletrônicos,85.35,70,Filial 4,Valor Indisponível
Máscara de cílios,Eletrodomésticos,80.35,55,Filial 10,Valor Indisponível
Blush em pó,Alimentos,2.15,45,Filial 6,Valor Indisponível
Delineador líquido,Roupas,64.49,88,Filial 8,Valor Indisponível
Sombra de olhos,Alimentos,70.7,36,Filial 3,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,44.67,15,Filial 3,Valor Indisponível
Base líquida,Eletrodomésticos,30.42,47,Filial 9,Valor Indisponível
Corretivo,Alimentos,31.79,87,Filial 6,Valor Indisponível
Batom matte,Eletrodomésticos,37.82,4,Filial 9,Valor Indisponível
Blush em pó,Eletrodomésticos,88.26,40,Filial 5,Valor Indisponível
Blush em pó,Eletrônicos,26.6,9,Filial 2,Valor Indisponível
Sombra de olhos,Roupas,74.21,44,Filial 8,Valor Indisponível
Base líquida,Alimentos,45.22,31,Filial 10,Valor Indisponível
Base líquida,Alimentos,28.09,96,Filial 8,Valor Indisponível
Batom matte,Eletrônicos,62.53,45,Filial 6,Valor Indisponível
Sombra de olhos,Alimentos,28.69,81,Filial 8,Valor Indisponível
Sombra de olhos,Roupas,67.67,6,Filial 5,Valor Indisponível
Delineador líquido,Eletrônicos,86.63,8,Filial 10,Valor Indisponível
Máscara de cílios,Alimentos,75.24,12,Filial 9,Valor Indisponível
Delineador líquido,Roupas,9.53,37,Filial 7,Valor Indisponível
Sombra de olhos,Roupas,58.7,38,Filial 6,Valor Indisponível
Corretivo,Alimentos,41.91,21,Filial 7,Valor Indisponível
Lápis de sobrancelha,Roupas,34.24,13,Filial 4,Valor Indisponível
Batom matte,Eletrônicos,15.69,80,Filial 1,Valor Indisponível
Batom matte,Alimentos,68.83,71,Filial 9,Valor Indisponível
Pó compacto,Alimentos,67.0,8,Filial 9,Valor Indisponível
Sombra de olhos,Eletrônicos,29.15,2,Filial 9,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,98.94,48,Filial 10,Valor Indisponível
Corretivo,Eletrônicos,50.1,54,Filial 10,Valor Indisponível
Batom líquido,Roupas,63.19,28,Filial 10,Valor Indisponível
Batom matte,Eletrodomésticos,25.2,14,Filial 4,Valor Indisponível
Blush em pó,Alimentos,45.62,81,Filial 9,Valor Indisponível
Base líquida,Alimentos,73.27,69,Filial 2,Valor Indisponível
Base líquida,Roupas,77.17,84,Filial 9,Valor Indisponível
Blush em pó,Eletrodomésticos,55.1,53,Filial 1,Valor Indisponível
Batom líquido,Alimentos,72.3,49,Filial 3,Valor Indisponível
Base líquida,Eletrodomésticos,78.7,12,Filial 7,Valor Indisponível
Corretivo,Roupas,47.23,19,Filial 4,Valor Indisponível
Lápis de sobrancelha,Alimentos,84.6,8,Filial 5,Valor Indisponível
Blush em pó,Eletrodomésticos,15.92,77,Filial 10,Valor Indisponível
Delineador líquido,Eletrodomésticos,40.97,6,Filial 4,Valor Indisponível
Pó compacto,Eletrônicos,17.85,52,Filial 2,Valor Indisponível
Batom líquido,Eletrônicos,88.73,52,Filial 8,Valor Indisponível
Blush em pó,Eletrodomésticos,42.18,30,Filial 3,Valor Indisponível
Blush em pó,Eletrodomésticos,90.03,29,Filial 8,Valor Indisponível
Blush em pó,Eletrônicos,62.38,32,Filial 1,Valor Indisponível
Máscara de cílios,Alimentos,2.3,80,Filial 4,Valor Indisponível
Máscara de cílios,Eletrônicos,61.67,16,Filial 4,Valor Indisponível
Blush em pó,Eletrodomésticos,12.87,99,Filial 1,Valor Indisponível
Corretivo,Eletrônicos,95.35,13,Filial 9,Valor Indisponível
Máscara de cílios,Eletrônicos,66.98,74,Filial 5,Valor Indisponível
Corretivo,Roupas,17.05,15,Filial 5,Valor Indisponível
Delineador líquido,Alimentos,2.35,72,Filial 10,Valor Indisponível
Batom líquido,Alimentos,53.51,95,Filial 3,Valor Indisponível
Corretivo,Alimentos,55.6,88,Filial 9,Valor Indisponível
Pó compacto,Eletrônicos,45.67,23,Filial 10,Valor Indisponível
Batom matte,Eletrônicos,6.39,25,Filial 9,Valor Indisponível
Lápis de sobrancelha,Alimentos,97.64,26,Filial 5,Valor Indisponível
Sombra de olhos,Roupas,89.79,99,Filial 4,Valor Indisponível
Corretivo,Eletrodomésticos,33.89,75,Filial 2,Valor Indisponível
Sombra de olhos,Eletrodomésticos,24.9,25,Filial 9,Valor Indisponível
Batom líquido,Eletrodomésticos,96.44,19,Filial 10,Valor Indisponível
Delineador líquido,Eletrônicos,56.63,82,Filial 10,Valor Indisponível
Batom líquido,Eletrodomésticos,91.76,32,Filial 7,Valor Indisponível
Pó compacto,Eletrônicos,31.41,43,Filial 5,Valor Indisponível
Delineador líquido,Roupas,41.49,82,Filial 1,Valor Indisponível
Máscara de cílios,Alimentos,35.63,23,Filial 5,Valor Indisponível
Base líquida,Roupas,13.17,79,Filial 10,Valor Indisponível
Batom matte,Eletrônicos,35.1,81,Filial 10,Valor Indisponível
Delineador líquido,Eletrônicos,26.65,67,Filial 4,Valor Indisponível
Pó compacto,Roupas,44.3,20,Filial 9,Valor Indisponível
Sombra de olhos,Alimentos,86.83,30,Filial 5,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,21.81,83,Filial 9,Valor Indisponível
Máscara de cílios,Eletrodomésticos,58.22,85,Filial 2,Valor Indisponível
Batom matte,Eletrônicos,47.59,79,Filial 1,Valor Indisponível
Blush em pó,Roupas,36.36,75,Filial 8,Valor Indisponível
Batom matte,Roupas,23.1,97,Filial 2,Valor Indisponível
Máscara de cílios,Eletrônicos,42.57,33,Filial 9,Valor Indisponível
Batom matte,Roupas,87.49,97,Filial 10,Valor Indisponível
Batom líquido,Eletrodomésticos,57.73,89,Filial 8,Valor Indisponível
Sombra de olhos,Alimentos,90.69,28,Filial 4,Valor Indisponível
Corretivo,Eletrodomésticos,42.19,42,Filial 1,Valor Indisponível
Delineador líquido,Eletrodomésticos,57.16,57,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,60.34,49,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,52.33,7,Filial 7,Valor Indisponível
Máscara de cílios,Alimentos,75.09,31,Filial 3,Valor Indisponível
Máscara de cílios,Roupas,16.82,41,Filial 3,Valor Indisponível
Batom líquido,Roupas,55.89,6,Filial 2,Valor Indisponível
Delineador líquido,Roupas,48.4,67,Filial 1,Valor Indisponível
Batom líquido,Alimentos,79.22,14,Filial 8,Valor Indisponível
Corretivo,Eletrodomésticos,71.86,67,Filial 4,Valor Indisponível
Base líquida,Alimentos,42.08,84,Filial 7,Valor Indisponível
Delineador líquido,Roupas,2.88,74,Filial 7,Valor Indisponível
Batom matte,Eletrônicos,46.45,71,Filial 9,Valor Indisponível
Batom matte,Alimentos,99.73,27,Filial 10,Valor Indisponível
Base líquida,Eletrônicos,90.56,12,Filial 6,Valor Indisponível
Batom líquido,Alimentos,77.96,46,Filial 9,Valor Indisponível
Sombra de olhos,Roupas,89.09,37,Filial 6,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,50.84,21,Filial 8,Valor Indisponível
Corretivo,Eletrônicos,80.3,80,Filial 2,Valor Indisponível
Pó compacto,Roupas,84.23,43,Filial 4,Valor Indisponível
Batom líquido,Eletrônicos,44.06,6,Filial 2,Valor Indisponível
Delineador líquido,Eletrodomésticos,18.79,80,Filial 6,Valor Indisponível
Base líquida,Eletrodomésticos,36.78,47,Filial 9,Valor Indisponível
Máscara de cílios,Eletrônicos,97.3,16,Filial 1,Valor Indisponível
Batom matte,Alimentos,36.58,97,Filial 4,Valor Indisponível
Base líquida,Eletrônicos,42.94,10,Filial 3,Valor Indisponível
Base líquida,Eletrodomésticos,69.63,18,Filial 5,Valor Indisponível
Corretivo,Alimentos,93.65,39,Filial 5,Valor Indisponível
Corretivo,Roupas,24.51,69,Filial 2,Valor Indisponível
Batom líquido,Eletrônicos,10.69,48,Filial 2,Valor Indisponível
Base líquida,Roupas,28.14,58,Filial 9,Valor Indisponível
Base líquida,Eletrônicos,95.79,81,Filial 6,Valor Indisponível
Pó compacto,Alimentos,63.76,59,Filial 8,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,27.3,50,Filial 6,Valor Indisponível
Pó compacto,Eletrodomésticos,63.01,93,Filial 6,Valor Indisponível
Delineador líquido,Alimentos,92.11,93,Filial 4,Valor Indisponível
Blush em pó,Eletrodomésticos,10.97,68,Filial 4,Valor Indisponível
Delineador líquido,Eletrodomésticos,94.17,72,Filial 7,Valor Indisponível
Lápis de sobrancelha,Alimentos,12.88,17,Filial 7,Valor Indisponível
Batom matte,Roupas,15.27,30,Filial 9,Valor Indisponível
Máscara de cílios,Alimentos,71.67,76,Filial 3,Valor Indisponível
Pó compacto,Eletrodomésticos,30.27,100,Filial 2,Valor Indisponível
Blush em pó,Eletrodomésticos,57.3,77,Filial 1,Valor Indisponível
Corretivo,Eletrodomésticos,76.73,46,Filial 5,Valor Indisponível
Sombra de olhos,Eletrodomésticos,66.39,24,Filial 9,Valor Indisponível
Batom líquido,Eletrônicos,16.84,61,Filial 7,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,15.01,69,Filial 5,Valor Indisponível
Blush em pó,Eletrônicos,47.44,4,Filial 2,Valor Indisponível
Sombra de olhos,Alimentos,71.13,62,Filial 2,Valor Indisponível
Batom líquido,Alimentos,92.12,22,Filial 10,Valor Indisponível
Base líquida,Eletrônicos,67.92,52,Filial 9,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,52.46,3,Filial 9,Valor Indisponível
Batom líquido,Eletrônicos,2.72,16,Filial 5,Valor Indisponível
Batom matte,Alimentos,84.72,7,Filial 8,Valor Indisponível
Delineador líquido,Eletrônicos,72.44,78,Filial 9,Valor Indisponível
Máscara de cílios,Alimentos,73.86,98,Filial 8,Valor Indisponível
Batom líquido,Eletrônicos,78.87,44,Filial 6,Valor Indisponível
Corretivo,Eletrodomésticos,48.12,67,Filial 9,Valor Indisponível
Base líquida,Eletrônicos,88.12,33,Filial 4,Valor Indisponível
Lápis de sobrancelha,Alimentos,59.25,71,Filial 1,Valor Indisponível
Blush em pó,Eletrônicos,41.66,82,Filial 6,Valor Indisponível
Pó compacto,Alimentos,51.03,34,Filial 6,Valor Indisponível
Batom matte,Eletrônicos,79.72,43,Filial 2,Valor Indisponível
Batom líquido,Eletrônicos,6.33,10,Filial 2,Valor Indisponível
Batom líquido,Eletrônicos,15.24,15,Filial 6,Valor Indisponível
Lápis de sobrancelha,Roupas,80.72,87,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrônicos,24.08,66,Filial 8,Valor Indisponível
Corretivo,Alimentos,88.86,22,Filial 6,Valor Indisponível
Batom líquido,Eletrônicos,64.8,99,Filial 8,Valor Indisponível
Delineador líquido,Eletrodomésticos,32.16,19,Filial 3,Valor Indisponível
Batom matte,Eletrodomésticos,55.41,71,Filial 9,Valor Indisponível
Corretivo,Alimentos,84.68,82,Filial 8,Valor Indisponível
Pó compacto,Roupas,97.79,42,Filial 10,Valor Indisponível
Sombra de olhos,Eletrônicos,61.39,84,Filial 5,Valor Indisponível
Blush em pó,Alimentos,62.34,21,Filial 2,Valor Indisponível
Pó compacto,Alimentos,75.12,9,Filial 1,Valor Indisponível
Batom matte,Roupas,30.13,100,Filial 2,Valor Indisponível
Corretivo,Roupas,55.63,78,Filial 4,Valor Indisponível
Batom matte,Alimentos,9.33,21,Filial 5,Valor Indisponível
Pó compacto,Roupas,29.52,20,Filial 3,Valor Indisponível
Base líquida,Eletrônicos,97.93,24,Filial 4,Valor Indisponível
Máscara de cílios,Eletrônicos,43.54,90,Filial 6,Valor Indisponível
Blush em pó,Roupas,46.93,11,Filial 10,Valor Indisponível
Sombra de olhos,Eletrônicos,50.43,27,Filial 5,Valor Indisponível
Máscara de cílios,Eletrônicos,17.43,19,Filial 8,Valor Indisponível
Corretivo,Alimentos,87.22,48,Filial 1,Valor Indisponível
Máscara de cílios,Alimentos,61.59,27,Filial 5,Valor Indisponível
Batom matte,Alimentos,34.47,66,Filial 7,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,99.23,27,Filial 5,Valor Indisponível
Blush em pó,Roupas,77.15,9,Filial 2,Valor Indisponível
Lápis de sobrancelha,Eletrodomésticos,87.7,13,Filial 8,Valor Indisponível
